Name,Year,Website,Input Type,Output Type,Output Length,Real Time,AI Technique,License,Free,Open Source,Checkpoints,Fine-tune,Train From Scratch,Training Dataset,Representation Class,Representation Subclass,Conditioning & Controls,notes
R-VAE,2022,https://vigliensoni.com/portfolio/30-vigliensoni22live/,MIDI,MIDI,2 Bars,Near,VAE,GPLv3,Yes,Yes,No,No,No,The Future Sample Pack,Latent Space Representation,Complexity/Noise,None,
SampleRNN,2016,github.com/soroushmehr/sampleRNN_ICLR2017,"Audio, None",Audio,Variable,No,Hierarchical Recurrent Neural Network (RNN),MIT,Yes,Yes,Community-based,~,Yes,Not disclosed,Hidden State,Hierarchy Of Embeddings,"Emotion Label, Genre, Linguistic Features, Speaker ID",
Stable Audio,2023,stability.ai/news/introducing-stable-audio-open,"Audio, Text",Audio,3min,No,Diffusion,~,Yes,Yes,Yes,Yes,Yes,freesound.org; freemusicarchive.org,Latent Space Representation,"Joint Embedding Space, Text, Audio Autoencoder","Text, Audio ",
Riffusion,2022,riffusion.com/,Text,Audio,3min,No,Diffusion,MIT,Yes,Yes,Yes,~,No,Not disclosed,Spectrograms,Unknown,Unknown,
Soundful,2023,soundful.com/,Text,"Audio, MIDI",2min30s,No,Unknown,Proprietary,Yes/No,No,No,No,No,Not specified,Unknown,Unknown,Metadata ,
Soundraw,2024,soundraw.io/,None,Audio,5m,No,Unknown,Proprietary,Yes/No,No,No,No,No,Not disclosed,Unknown,Unknown,Metadata,
Splash,2023,splashmusic.com/,Text,Audio,3m,No,Unknown,Proprietary,Yes/No,No,No,~,No,Not disclosed,Unknown,Unknown,Unknown,
Suno,2023,suno.com/,Text,Audio,2min,No,N.S.,Proprietary,Yes/No,No,*,Yes,No,Not disclosed,Unknown,Unknown,Unknown,
Udio,2024,udio.com/,Text,Audio,30s,No,N.S.,Proprietary,Yes,No,No,*,No,Not disclosed,Unknown,Unknown,Unknown,
WaveNet,2016,deepmind.google/discover/blog/wavenet-a-generative-model-for-raw-audio/,"Audio, None",Audio,Variable,No,Autoregressive Convolutional Neural Network,No (Yes OS Vs),No (Yes OS Vs),Community-based,Yes,Yes,Not disclosed,Raw audio waveform,Hidden State,Hierarchy Of Embeddings,"Emotion Label, Genre, Linguistic Features, Speaker ID",learns to predict raw audio samples using dilated convolution
AFTER,2024,https://nilsdem.github.io/control-transfer-diffusion/,"Audio, MIDI",Audio,,,Latent Diffusion,,,,,,,,Latent Space Representation,"Timbre Latent Space, Structure Embedding","Timbre, Musical Structure",
Lyria RealTime,2025,https://magenta.withgoogle.com/lyria-realtime,None,Audio,,,,,,Yes,,,,,Unknown,Unknown,"Genre, Timbre",Timbre here refers to Timbre-Semantic Prompts
